start	end	text
0	2280	Welcome to the Huberman Lab Podcast,
2280	3720	where we discuss science
3720	5920	and science-based tools for everyday life.
9200	10240	I'm Andrew Huberman,
10240	13240	and I'm a professor of neurobiology and ophthalmology
13240	15220	at Stanford School of Medicine.
15220	18520	Today we are discussing tools for mood and mental health.
18520	20240	I will include tools and resources
20240	22440	taken from the guest episode that I did
22440	24560	with Dr. Lisa Feldman Barrett,
24560	27360	who is a psychologist and neuroscientist
27400	30640	whose laboratory focuses on mood and emotions.
30640	33480	During that episode, she mentioned several important tools
33480	35320	that I do believe everybody should apply
35320	37440	and that indeed I've been applying to my own life
37440	40360	and have found to be extremely beneficial.
40360	41240	I will also highlight
41240	43400	some of the specific research articles
43400	44880	those tools are based on,
44880	48480	which were not covered in the podcast with Lisa.
48480	50040	I will also discuss tools gleaned
50040	53160	from the four episode series that I did on mental health
53160	54640	with Dr. Paul Conti,
54640	57680	who is a medical doctor specializing in psychiatry.
57680	60240	And that episode, as some of you may already know,
60240	62980	focused on mental health and the self,
62980	64680	as well as relationships.
64680	68200	And it included a deep discussion of what is the self.
68200	70920	We talked about the unconscious mind and the conscious mind.
70920	72680	And we also covered a lot of tools
72680	74360	for understanding oneself,
74360	76340	both within the context of therapy,
76340	78480	but also within the context of things
78480	82620	that one can do alone and that require zero cost.
82620	83900	In addition, we talked about tools
83900	85300	for improving relationships.
85300	87140	We talked about first principles of self care.
87140	88980	So I will provide highlights and takeaways
88980	91300	of those tools during today's episode.
91300	92900	And thirdly, I will include tools,
92900	95300	what we often refer to as protocols,
95300	97340	gleaned from some recent publications.
97340	98940	Indeed, publications that came out
98940	101420	as recently as two weeks ago,
101420	105140	which really emphasize specific things that we can all do
105140	107060	that again are zero cost,
107060	110460	that have been shown in quality peer reviewed research
110460	113520	to significantly improve mood and mental health.
113520	116040	For instance, if you're a regular listener of this podcast,
116040	120520	you are probably familiar with my nearly constant reminder
120520	122520	that people should view morning sunlight
122520	123680	and afternoon sunlight.
123680	126800	And if you can't, to embrace some alternatives
126800	128400	like looking at bright artificial light,
128400	130180	although sunlight is best.
130180	131720	Well, there was a recent paper published
131720	135280	in the journal, Nature Mental Health, an excellent journal,
135280	137720	focusing on not just the positive effects
137720	139440	of viewing light at those times of day
139440	141080	and indeed throughout the day,
141080	144260	but also the independent and positive effects
144260	148280	of being in darkness for six to eight hours every night.
148280	149120	That's right.
149120	151400	Not only is light during the day correlated
151400	154140	with significantly improved mental health outcomes,
154140	156960	but darkness at night that is avoiding lights,
156960	161680	not just bright lights, but lights for up to eight hours
161680	164280	at certain periods of your 24 hour circadian cycle
164280	166920	has been correlated with improved mental health outcomes.
166920	170200	And indeed has been shown to significantly offset
170200	173080	certain negative mental health outcomes.
173080	175200	This is a spectacular study.
175200	178200	Again, it involved a enormous number of research subjects,
178200	180400	more than 85,000 research subjects.
180400	183620	And it touches on a large number of actionable protocols
183620	185780	that I've distilled down to just one or two things
185780	188720	that all of us can easily do to improve our mood
188720	190960	and mental health on a consistent basis.
190960	193680	Before we begin, I'd like to emphasize that this podcast
193680	196440	is separate from my teaching and research roles at Stanford.
196440	198740	It is however, part of my desire and effort
198740	201420	to bring zero cost to consumer information about science
201420	204060	and science related tools to the general public.
204060	205140	In keeping with that theme,
205140	207980	I'd like to thank the sponsors of today's podcast.
207980	210140	Our first sponsor is Plunge.
210140	212620	Plunge makes what I believe is the most versatile
212620	214340	at home self-cooling cold plunge
214340	216220	for deliberate cold exposure.
216220	218740	I've covered the topic of deliberate cold exposure
218740	220220	several times on this podcast.
220220	221660	Indeed, we did an entire episode
221660	223340	about deliberate cold exposure.
223340	226020	And what's very clear from the research literature
226020	228300	is that deliberate cold exposure
228300	231240	can induce dramatic positive shifts
231240	233340	in so-called catecholamines.
233340	236660	That is dopamine, norepinephrine and epinephrine.
236660	238500	This is a small collection of molecules
238500	239920	that are released in the brain and body
239920	241780	when we do deliberate cold exposure.
241780	245300	And that subjectively lead to greatly enhanced feelings
245300	249040	of mood alertness and focus for many hours afterwards.
249040	251540	That's perhaps the best substantiated reason
251540	253120	and the most popular reason
253120	255740	why people who get into deliberate cold exposure,
255740	257040	no pun intended,
257040	259020	continue to do deliberate cold exposure
259020	260340	on a consistent basis.
260340	263060	Plunge uses a powerful and very easy to use
263060	264980	cooling filtration and sanitation unit
264980	266860	to give you access to deliberate cold exposure
266860	268900	in clean water whenever you want.
268900	270780	I've used a Plunge for several years now,
270780	272920	and I really like it because first of all,
272920	274500	it can use a standard outlet.
274500	276080	You don't have to modify the electricity
276080	278940	in your home or yard, and it's very easy to clean.
278940	281540	In fact, it stays clean for long periods of time,
281540	284140	which makes it very easy to maintain as well.
284140	285480	Plunge has several different models
285480	289060	to select from, including their new all-in cold Plunge,
289060	290440	which offers faster cooling,
290440	292700	smartphone connectivity, and more.
292700	294060	If you're interested in getting a Plunge,
294060	299060	you can go to Plunge, spelled P-L-U-N-G-E.com slash Huberman
299580	301600	to get $150 off your cold Plunge.
301600	306040	Again, that's plunge.com slash Huberman to get $150 off.
306040	308900	Today's episode is also brought to us by 8 Sleep.
308900	311080	8 Sleep makes smart mattress covers with cooling,
311080	313360	heating, and sleep tracking capacity.
313360	315360	I've spoken many times before in this podcast
315360	316740	about the fact that sleep,
316740	320000	that is getting enough quality sleep on a consistent basis,
320000	321480	is the foundation of mental health,
321480	322840	physical health, and performance.
322840	323680	Now, one of the key things
323680	325720	to getting the best possible night's sleep
325720	328020	is to control the temperature of your sleeping environment,
328020	331020	and that's because in order to fall and stay deeply asleep,
331020	332600	your body temperature needs to drop
332600	334360	by about one to three degrees.
334360	337040	And in order to wake up feeling refreshed and energized,
337040	339080	your body temperature actually has to increase
339080	340760	by about one to three degrees.
340760	342400	With 8 Sleep, controlling the temperature
342400	345080	of your sleeping environment is made extremely easy.
345080	347360	8 Sleep mattress covers allow you to program
347360	348680	the temperature of your sleeping environment
348680	350860	at the beginning, middle, and end of your night.
350860	352120	It can even divide the temperature
352120	354080	on the two sides of the bed for different people.
354080	355680	It also has sleep tracking capacity.
355680	357200	It will tell you how much slow wave sleep
357200	358840	and rapid eye movement sleep you're getting,
358840	361440	and really help you dial in the exact parameters
361440	363680	so you can get the best possible night's sleep.
363680	365360	I've been sleeping on an 8 Sleep mattress cover
365360	366840	for well over two years now,
366840	369040	and it has significantly improved my sleep,
369040	372240	and therefore my daytime mood focus and alertness.
372240	373520	If you'd like to try 8 Sleep,
373520	376080	you can go to 8sleep.com slash Huberman
376080	379480	and save up to $150 off their pod three covers.
379480	382040	8 Sleep currently ships in the USA, Canada, UK,
382040	384080	select countries in the EU, and Australia.
384080	387320	Again, that's 8sleep.com slash Huberman.
387320	390360	Today's episode is also brought to us by Waking Up.
390360	392120	Waking Up is a meditation app
392120	394280	that includes hundreds of meditation programs,
394280	396680	mindfulness trainings, yoga nidra sessions,
396680	399720	and NSDR, non-sleep deep rest protocols.
399720	402040	I started using the Waking Up app a few years ago
402040	404760	because even though I've been doing regular meditation
404760	407840	since my teens, and I started doing yoga nidra
407840	410720	about a decade ago, my dad mentioned to me
410720	411960	that he had found an app,
411960	413720	turned out to be the Waking Up app,
413720	416760	which could teach you meditations of different durations
416760	419240	and that had a lot of different types of meditations
419240	421800	to place the brain and body into different states,
421800	423120	and that he liked it very much.
423120	425440	So I gave the Waking Up app a try,
425440	427880	and I too found it to be extremely useful
427880	430920	because sometimes I only have a few minutes to meditate,
430920	432640	other times I have longer to meditate,
432640	434520	and indeed I love the fact that I can explore
434520	436360	different types of meditation
436360	438560	to bring about different levels of understanding
438560	441120	about consciousness, but also to place my brain and body
441120	442760	into lots of different kinds of states
442760	444760	depending on which meditation I do.
444760	446280	I also love that the Waking Up app
446280	448960	has lots of different types of yoga nidra sessions.
448960	450120	For those of you who don't know,
450120	452680	yoga nidra is a process of lying very still,
452680	453960	but keeping an active mind.
453960	456120	It's very different than most meditations,
456120	458200	and there's excellent scientific data
458200	460800	to show that yoga nidra and something similar to it
461360	463480	called non-sleep deep rest or NSDR
463480	466520	can greatly restore levels of cognitive and physical energy
466520	469000	even with just a short 10 minute session.
469000	470920	If you'd like to try the Waking Up app,
470920	473800	you can go to wakingup.com slash Huberman
473800	475840	and access a free 30 day trial.
475840	478680	Again, that's wakingup.com slash Huberman
478680	481040	to access a free 30 day trial.
481040	482400	Okay, let's talk about tools
482400	484960	for improving mood and mental health.
484960	486160	I think it goes without saying
486160	489200	that these are extremely important topics
489200	491640	for everyone not just to know about,
